sourceId,sourcePage,sourceType,treatment,destinationSectionId,destinationRoute,citationStatus,rightsStatus,publicPrivacyStatus,migrationStatus,editorialNote
p1,1,paragraph,private-source-only,,,verified,not-applicable,private,approved,"Title block containing the author name, personal email address and phone number. The name is published; the contact details are not, and a build-time scan enforces that."
p2,1,paragraph,private-source-only,,,not-required,not-applicable,private,approved,"Title block containing the author name, personal email address and phone number. The name is published; the contact details are not, and a build-time scan enforces that."
p3,1,other,omitted-as-formatting-only,,,not-required,not-applicable,safe,approved,Empty paragraph used for spacing in the source document.
p5,1,table,relocated,,/,verified,not-applicable,safe,approved,"Opening comparison of the two views, relocated to the homepage orientation panels and to Compare the Views."
p7,1,image,relocated,,/,not-required,not-applicable,safe,approved,"Opening comparison of the two views, relocated to the homepage orientation panels and to Compare the Views."
p8,1,paragraph,relocated,,/,not-required,not-applicable,safe,approved,"Opening comparison of the two views, relocated to the homepage orientation panels and to Compare the Views."
p9,1,other,omitted-as-formatting-only,,,not-required,not-applicable,safe,approved,Empty paragraph used for spacing in the source document.
p10,1,paragraph,relocated,,/,verified,not-applicable,safe,approved,"Opening comparison of the two views, relocated to the homepage orientation panels and to Compare the Views."
p11,1,paragraph,relocated,,/,not-required,not-applicable,safe,approved,"Opening comparison of the two views, relocated to the homepage orientation panels and to Compare the Views."
p12,1,other,omitted-as-formatting-only,,,not-required,not-applicable,safe,approved,Empty paragraph used for spacing in the source document.
p13,1,paragraph,relocated,,/,not-required,not-applicable,safe,approved,"Opening comparison of the two views, relocated to the homepage orientation panels and to Compare the Views."
p14,1,other,omitted-as-formatting-only,,,not-required,not-applicable,safe,approved,Empty paragraph used for spacing in the source document.
p15,1,paragraph,relocated,,/,not-required,not-applicable,safe,approved,"Opening comparison of the two views, relocated to the homepage orientation panels and to Compare the Views."
p17,1,table,relocated,,/,not-required,not-applicable,safe,approved,"Opening comparison of the two views, relocated to the homepage orientation panels and to Compare the Views."
p18,1,table,relocated,,/,not-required,not-applicable,safe,approved,"Opening comparison of the two views, relocated to the homepage orientation panels and to Compare the Views."
p19,1,table,relocated,,/,not-required,not-applicable,safe,approved,"Opening comparison of the two views, relocated to the homepage orientation panels and to Compare the Views."
p20,1,table,relocated,,/,not-required,not-applicable,safe,approved,"Opening comparison of the two views, relocated to the homepage orientation panels and to Compare the Views."
p21,1,table,relocated,,/,not-required,not-applicable,safe,approved,"Opening comparison of the two views, relocated to the homepage orientation panels and to Compare the Views."
p23,1,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p24,1,image,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p25,1,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p26,1,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p27,1,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p28,1,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p29,2,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p30,2,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p31,2,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p32,2,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p33,2,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p34,2,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p35,2,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p36,2,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p37,2,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p38,2,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p39,2,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p40,2,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p41,2,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p42,2,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p43,2,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p44,2,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p45,2,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p46,2,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p47,2,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p48,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p49,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p50,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p51,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p52,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p53,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p54,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p55,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p56,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p57,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p58,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p59,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p60,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p61,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p62,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p63,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p64,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p65,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p66,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p67,3,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p68,4,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p69,4,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p70,4,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p71,4,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p72,4,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p73,4,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p74,4,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p75,4,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p76,4,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p77,4,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p78,4,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p79,4,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p80,4,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p81,4,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p82,4,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p83,4,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p84,4,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p85,4,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p86,4,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p87,5,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p88,5,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p89,5,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p90,5,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p91,5,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p92,5,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p93,5,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p94,5,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p95,5,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p96,5,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p97,5,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p98,5,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p99,5,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p100,5,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p101,5,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p102,5,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p103,5,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p104,5,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p105,5,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p106,6,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p107,6,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p108,6,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
p109,6,paragraph,summarized,,/case/,not-required,not-applicable,safe,approved,"Table of contents and its per-section summary bullets. Regenerated from the section registry, so the contents listing and the summaries can no longer drift apart."
